id,followers,genres,name,popularity
6rySzdcpyRtz5oICzOfiAl,25.0,[],Bryan Rason,0
6bvMoywdm3JM1bmVvMngrW,44.0,[],Vang,0
1I1HKY5BrO40OrsuszODKV,35.0,[],The Big Dogs,0
6bJzDQMeGjkWAjLM8LkiPy,76.0,['rochester ny indie'],Gonculator,1
7dAbvKX8nFnFwLg0XGgizI,10.0,[],Howard Glazer And The EL 34s,0
2KbK4DICGAEHk6x77exZ61,143.0,[],Nina letar Ufo,6
5OSCt9Tvm8JypMiPBtYqtn,10.0,[],The Bron-Yr-Aurs,0
54rE9yVJQCzdQpwtI3c3Zk,204.0,[],The Fontanas,5
2JUMidzJcvS0y45XqaSinj,34.0,[],Mojo Collins,0
7Lw2bKQWtH15LeMo5ROZ8H,285.0,[],Mickey Finn's T-Rex,12
6nJMbJXhpRf7EYp0iODzoh,35.0,[],No Island,0
1A0yw6wWHNJhjjuVsneLvx,95.0,[],Young & Moody,2
28oQRSTDXBiEtgW4SKSW1A,85.0,[],Steve Saluto,1
5ckR6jlXk7E6Zm1irAqJem,86.0,['cleveland indie'],Return Of Simple,0
2ZMMsfpmVUmNatCFoMCWbf,56.0,[],The Cage,0
7Jl3FOeldfqBgoQStcNUgV,5.0,[],The Shine,0
0uWzP0PO7BIlpwfvMTX1Yi,68.0,[],Colfach,0
1z9HqB8tmC1zUZDePQssgG,90.0,[],Rich Hope and his Evil Doers,1
5R25jAxMjmMBwsQTOfYmiu,55.0,['nwocr'],Millsyeck,0
2n2cbyAlwePjDbsopr2VTu,147.0,[],Rosco Levee,1
1YFCOwxSz4SrI2kFiIj1eB,477.0,[],Maurizio Solieri,26
6lNiLo4B1ifu07NzIiEzl7,5.0,[],Ry Kenney,0
1lmRqvnlR9n90We00mpPEr,46.0,[],Jaggedy Ann,0
14Pk1VPu8nT950vFO3RNZD,0.0,[],Robotic Lunch,0
7qIUQ2kNFIs2XVkDMo9uok,1178.0,['american oi'],Thunder and Glory,8
2qd8wLHci6t0Aw3A3g0JHo,1207.0,[],Brassknuckle,7
7iymcPl5qMtngFsuFdHBXG,2327.0,['american oi'],The Hardknocks,18
4wfLlJqf4ssRGXJWkDRy4o,900.0,[],Hostile Minds,7
2KL5FQQHhO4lChnsScwv68,1728.0,['american oi'],Oxley's Midnight Runners,7
03KDrU0Foi0ksv8zKym4NP,779.0,['american oi'],The Lower Orders,3
3jjRnBeOjVVxZGrmzMdpRK,448.0,['modern power pop'],Fast Eddy,4
1FOLdU3ekLOXlpWs6WmcQn,190.0,[],Creem Circus,1
216aNjAGuM8N070FHFvLE8,1129.0,['action rock'],Ravagers,12
7fXDfYeQzpPak5bAizQApC,8523.0,"['glam metal', 'modern hard rock', 'sleaze rock']",The Last Vegas,27
38JMflriwx1AGnG5dqUa6X,794.0,['american oi'],Victory,12
015RSGoGtLY4xUFFSdoLPt,249.0,[],The Prowlers,20
2qNE4BHFNri9aqSPl94FaQ,429.0,['american oi'],Liberty And Justice,18
5Rm433ikqLTdMnauybYvhB,1225.0,['american oi'],Hard Evidence,11
244VyPaXxvLMx4z2Rlf8oK,1026.0,['atlanta punk'],Antagonizers Atl,15
1M8q4bSmXpJ8dghUOi0F9n,233.0,[],The Janitors,6
0XnBh6B4o3fVfIBpE5fHvH,471.0,['american oi'],The Divided,9
1mV80wU5C7aFDPn7GYRw9L,1570.0,['ecuadorian indie'],Mauro Samaniego,23
2KSUqQeyVhkZlMjdSl8yzx,89.0,[],The Possums,0
6OvLIRHCUo1IM0Ry425DlV,29.0,[],Half Beats,0
49h6wdS0MYvqwyDLxWtwi3,8.0,[],The Images,0
1yQ3ZOopZzD2uS7hn6wdlP,8.0,[],Brazilian TACO,0
5YHhduR7SuJp0rQ4IfeJx1,55.0,[],Beautiful Days,0
6MEIFqTf8S439UlUn5t8Re,10.0,[],CL8 The GR8,0
0PRiteW4WwMxMruZEOcUaF,81.0,[],Bike Thief,0
7Fhj0K08T75UchC1p8T6g1,78.0,[],Barons,3
2Susg6Xuq7jTv9s3Q2Qz4t,1.0,[],The Newcastle Blues,0
7fBC99zKcw81EE74esYOBK,0.0,[],Jerry & The Gems,0
2WuSA43BqKC1oqruCN7gVJ,23.0,[],The Centurys,1
40NRZZJwrHXgvttNjLUKsf,0.0,[],The Menerals,0
0zTmJSlaNhtUj0EjGPhRog,5.0,[],Fabulous Prophets,0
2EY9vS7EjWiOxpSh8N0zxm,5.0,[],The Journey Back,0
1m1VGgS7OQ0rrkTxyiih4O,14.0,[],Hysterical Society,0
4A63X2NiyBdzYiU9YsnGBd,20.0,[],The Shadowcasters,1
2cUeN2zNulZJYYXM0anIlR,5.0,[],Brandon S. Hire,0
65SYHynbG5lJG8vV7Mob6d,1.0,[],The Balladeers,0
3nT4VJekDrxyN1aWNCLw1Y,6.0,[],The C-Minors,0
7fToALXTCAY0bQPjlJnLCB,25.0,[],The Changing Times,0
6fR86D8Ii1KIGT4KWWLscG,56.0,[],MIchal Seps,1
3P0W9cIhmeG6YaQJK1D5AL,0.0,[],Brian Stephens,0
1PORlND9pI4NP8PPUfVJkF,15.0,[],Live Wires,0
47lS1JJ3hBEdEBizZcy5gg,7.0,[],The Weads,0
2YjlngYpq5hZ5lpjmyuVaY,2.0,[],Chuck Conlon,1
5Ww6M5mbccCfU7RjRIiafl,0.0,[],Otto Aka Sugarvon,0
6IKtctpbd3OAlXkEIYPRiz,82.0,[],The Bad Habits,0
4pRa44AXZCKd6am3FLCRaA,1764.0,['modern power pop'],The Connection,11
5A7FDoBpTv5zv9T1fR0Aeb,207.0,[],Black Banana,0
5jqoow99shbkddptNX6bxI,19.0,[],Chocolate Moose,0
5JkUha8pw2SqQoSai8R35q,379.0,[],The Visions,4
6ShBR9xmJbxZfvHh3UybE6,0.0,[],The Oscar Five,0
1zLXgSJAKhnnEW5ut87GGN,17.0,[],Five Of A Kind,1
2IPNwXWWzvgKs6VjpDkk23,8.0,[],The Royal Knights,0
7xGGVlleKbXh4EltWKJCjS,2653.0,['uk diy punk'],Pizzatramp,17
6mbzDq9UslyYi49WfBTPvp,1140.0,[],Hung Like Hanratty,15
6JlxBP54XTEpmoBE0IFYCq,1073.0,[],Boots n All,10
2l9A8VhHSEoKkzYG2srJ3c,760.0,['northern irish punk'],Takers & Users,11
4sOxxFJiDMVzB8ameklODX,1997.0,[],Razorcut,15
4PqLy1J04bBLswx3WWqYHA,928.0,"['oi', 'skinhead oi']",East End Badoes,7
5tIwiF2OnBSdyheRbcW0m7,1277.0,[],B Squadron,11
143wYnnvvdNDgDHCE6mu0j,441.0,[],Spunk Volcano & the Eruptions,13
7hcnlmEJ3zAqm9DcuboZ2F,2290.0,['uk diy punk'],Dirt Box Disco,18
2GcFuBRnCRHhOFW4ejfcRg,2055.0,['modern ska punk'],Millie Manders and the Shutup,19
6wcjT3Bd705EAFGoIBnRH5,24.0,[],DEF/LIGHT,0
5husZEk63sdmzz7Wa4kn5a,597.0,[],Apotheosis,19
6tBs2klyMfJr2iIw1vpMDN,1116.0,"['swiss metal', 'symphonic death metal']",Frozen Gate,5
0izukSV0BPwaxfC61KbDoB,28.0,[],Rich Davis,0
5YUadeP4WiWAwaMwXsczgJ,3582.0,"['swedish death metal', 'symphonic death metal']",Zornheym,15
5dmI4tRsRg02h10dvdbBgX,6.0,[],Interstellar Genocide,0
4YIHUiJzNKIBq4dVjKIk8c,6.0,[],Xenopix,0
4u5UbK33ySwR9S0TZn62Je,48.0,[],Maylee Thomas & Andy Timmons,0
6FTIcNbsRn3HuQIGzSe8DZ,96.0,['narodna muzika'],The Kuraybers,1
3CkoEVuyiH5vrVJvJzkQmh,2.0,[],Marty DeLay,0
2lDnr3LeYSukIRfUFMoaXy,244.0,[],Firejack,1
32Gh1vaorPIKJZM3lEnkOa,2107.0,[],Thomas Lang,11
41z5hzHWJfOxKIwzkOtTMA,16.0,[],Sven Horlemann,0
5udrjcxQAy5xy0g6fdGF5C,62.0,[],YOGURT,3
4JrXdJNYihZhEghyLh98fz,7357.0,"['progressive death metal', 'swedish death metal', 'swedish progressive metal']",Witherscape,17
0HtVLa3YBzsvGaCPuxUjw8,13.0,[],"Megan Beller, John Wobus, And Charley Beller",0
5yPuufDyfNEPdNzh5MWueL,7.0,[],Gift Of The Marcii,0
2MzfLEfB5ERTaxlQhVSEzT,43.0,[],Sick on Sunday,0
1aYl1ZhT1gNhZw1HospcEh,9.0,[],Avenue You,0
1ayJNKPX0TrMBvaS2hUzZh,94.0,[],Lights of Berlin,0
4Dv6tBNDSEA9sZbmvAfHW3,12.0,[],Stillborn Skies,0
5SPkn8CPVJiBoWDBRkLJcx,9.0,[],A King's Affliction,0
4ug9vNhVwertbSzTEd3Zeu,318.0,[],Anabelle Kay,2
32GGQ4UHApeps3fBZIl8X2,21.0,[],Em Burrows and the Bearded Rainbow,0
4yWGayo2RpBFSSQfO7v0kw,4.0,[],Revolutionary Cells,0
3cR5dbW5Ojxq8xKFve5mT4,81.0,[],Brow Horn Orchestra,0
06snfypWvyC3tUCQlYlvYM,5.0,[],Dee Lavell,0
1siwMjDSEog0Ypi8FwacOO,13.0,[],The Water Safety,0
3SLBGghuwxcU3N8CQOHJHR,70.0,['african metal'],Bulletscript,0
2cdnZlQDk0p80TWgJKhfhE,51.0,[],Dictatorshit,0
3XKfAxDbfPGIG9ziTaNGX6,27.0,[],Hellgeist,0
6pkrUKrH4NwaMyuDTLbUbr,16.0,[],Souls of Ghouls,0
4nUftjrtST4uTmtnMJAqE8,8.0,[],Toxic Crusade,0
3JvvqrSS98ujuTGrrZ7hAO,19.0,[],Defeatem,0
6d2R8BdjDyH9Gt3GY1o60K,10.0,[],Scum Scunge,0
2J54ogu9596opSR1Xrylyq,55.0,['thrash-groove metal'],Thirteen Autumn Rituals,0
2AcMUSOzIa0a4ztI86RUdW,33.0,[],Old Man Savage,0
4PDOdH6Lksk6kRBDGhFPMY,34.0,[],Wrecker,0
4izp7bf4020WdMPQmYwgsl,6.0,[],ParasiteTM,0
6trMH3h5QEeV4RkGJUTKkH,98.0,[],Fueled By Fear,0
28t44dKV2677n8nDxVn3Aa,22.0,[],Tenth Amendment,0
6bJvSkdOM7FRcrdogT7joX,25.0,[],Stoned Mages,0
20mtDZ3TYGmgnULk1GhDzG,6.0,[],D'n'R,0
605jGP4l26HLJw2ZATzZvZ,22.0,[],Jim Jones & The Chaunteys,0
6xlkXaUX1pALvvWmSD1GHa,268.0,[],The Bards,3
2hvQ7ik3zMwSDjpp2T6Jwn,22.0,[],Emoglobe,0
0kv2EMaH2SYlO02CRNtuys,33.0,[],The Inn Keepers,0
0fffGK4EsprYWVmDjxqbnF,69.0,[],Rico Rodriguez & King Cliff,0
44TXgTE2l6a1FXvCWSV5sr,4.0,[],Same O.,0
4YRTwVsadV1ZboAVXXMK1I,5.0,[],Avané,0
19wFheUMybrrTFTnxEGO8U,1.0,[],BartJones,0
4VJgxXyVuUajTPJflDbmfG,0.0,[],Rob Quinn,0
7GhuYMO3gKlbaeeGbAkjLJ,0.0,[],Ben Rophie,0
2RQUi5RHm3vbs1eWVdRftk,8.0,[],Brendan Hains,1
3DcZiMxJoKUsxf9iMBEBEV,0.0,[],Pete Hawkes and Phil Emmanuel,0
5gFToSb2BoodiMlDBwhhwP,63.0,[],Illusion of Gravity,2
5eAL7BQh8QPQGrspfWUCgu,137.0,[],Raven Sad,9
4AgjOFo61huKDodF2Tbs9w,230.0,[],Mesmerising,1
6xWKHCQcdPYLe1utx6kx7t,366.0,[],Naryan,10
6W0MOwbsoNU6Pbq33VVVgb,245.0,[],Antony Kalugin,8
3XePsF7kxUxF7u8lzwaomB,167.0,[],JPL,6
1BnH0zdD1K25acv9mZUBV4,75.0,[],Theo,3
13EMz83ORAhG86I4hlUIdH,76.0,[],Lunar Clock,1
3gT1Gb5JzbSnya5C6CFixX,48.0,[],Turdetans,0
0YxyIQTPWKgZtPy1tvdfne,174.0,['italian modern prog'],Quel Che Disse Il Tuono,1
7IYTfSNNSAruHm6OwiyyfA,189.0,['polish prog'],tRKproject,9
6IZKYlFvLiXwJYilyZnhlF,176.0,['italian progressive rock'],Notturno Concertante,1
3F2JgBDS8KML1XzJEBmx6Y,43.0,[],Isobar,0
6JdPbnlnm2T4LeMi2YbfGm,220.0,['norwegian prog'],35 Tapes,9
51b6i3aI5UY7sx4X32bSdZ,99.0,[],Yacobs,2
7apP2GlUvUQIWaSpuKQK36,245.0,['modern progressive rock'],Swappers Eleven,6
7mwjY1Pb2o5A8k7ngkikGy,302.0,['polish prog'],Acute Mind,7
41X8zRdMgapWJ7XMkn82Er,744.0,['crossover prog'],Days Between Stations,7
