id,followers,genres,name,popularity
1PSDn6M9py5G7wwiNnf4Zt,10.0,[],The Laughing Leaves,0
0jLxmiF9Ou05INSrS2nLgj,52.0,[],The Filthy Teens,0
2Yy5tUalVpmQV9YDr0MOyf,142.0,[],Julian Earle,6
7zOfmDmZdRLmj7KeVZ4vRL,34.0,['hawaiian indie'],Nerve Beats,0
67Pl0HMI1qm1qHPSq8j9m3,6.0,[],90s Television,0
2aFUR5R1ZSeFNSWhhSQuwM,4396.0,[],Eerie Summer,23
4tbR49wVyrrFIjl4gwMYFu,6065.0,['australian garage punk'],The Ruminaters,34
5Sx7MVr52IydFEf4Od7gxe,21.0,[],Pineapple Head,0
7D2PdmBSbNgLbuzwzU1Hcm,5.0,[],Lightfeet,0
7tqeRsUppEpCnusxGg7SJz,10.0,[],Wednesday Night Music Club,0
4rYioYuduzIre27clUnKIh,1713.0,['gauze pop'],Keel Her,11
5hwUMIRhOp1DllTRFfQIDo,43.0,[],Death Cassettes,0
788UWay30AvvdYlOo8nF1n,46.0,[],Karl and The Kurbcrawlers,0
2q6gY7ogUAAE4Q7Y7nrhXH,17.0,[],Herd Behaviour,0
3U0drwwY6HzKgcjvITYQcA,0.0,[],Fuzzy Cloaks,0
5kHsTWT2VVLwGFAumhNVr7,74.0,['olympia wa indie'],The Dizzies,0
2QGY4kkym3ekohL4Kp0Llj,190.0,['north carolina indie'],Flesh Wounds,2
5abo7EpyIrtr9cBsXRjqgZ,93.0,[],The Clits,0
1tKvuebs6u5JxEgOUwzfTp,25.0,[],Udays Tiger,0
3RcR8z7jpA78vKZzuqzUPV,171.0,[],Thee Marvin Gays,3
2Jz0XAy1TErpmGmIn2tcGD,27.0,[],Leon Stackpole,0
3g7Koe76LyGMbRzZGlufky,30.0,[],John Drendall & B.A.Thrower,0
6MFdf6BVERhu6ZZxHZySAx,52.0,[],UBT,0
4Et83WwcoeReCxr6HjDo1X,383.0,['synth punk'],Kitchen People,4
7tg1p4ColG2xpcWMm6RrDd,505.0,['indonesian edm'],NAJ,9
4SGgbh9hi64bXTKqZNHn0a,133.0,[],Melt Mountain,1
007oN9n0y5CQ4LmDF0rh1P,33.0,[],Peachy Keen,1
3x0M5M9IZiKgzmZ8oscAhS,838.0,[],Niko Ne Zna,10
1p0OGdvAWF7dwmPtN2ILFN,37.0,[],Carlama Orkestar,0
66hmk5A2Of1GpgmgxgRQGM,34.0,[],King Bitch,0
6JmZaCTWhmJcjIqt4Sh0XC,760.0,['nashville indie'],Denney and The Jets,19
5oNTgxVqIt7TQiSPyONsoH,5.0,[],The Bonars,0
61S3x6Fwk7tNKmqxNtcKm0,7.0,[],Masters of Space And Time,0
0j8rpp4geVqDLMYU0pmQKU,0.0,[],Slammers,0
6GsFRsSnpC9DwCKKNcvMvM,2.0,[],Letho,0
7ykVfK7CvBVpYSmOGb1cA4,354.0,[],Jeff,31
2C55b41kwfsuSYvGrD1lrV,5.0,[],Fancytramp,0
6bOJF68KiC6V3wW6DwotBu,13.0,[],Ethan Freckleton,0
6rv4rYIPGbh3jTcAcQv1UV,132.0,[],Mardou,1
02w8VZKnn9HNLkYHgJ0xnk,219.0,[],Mouth Reader,1
0kWSA6jWKYo9He6wcv2t6B,136.0,[],Jawws,0
7fFGPg4lOlgIBpGR5lXILL,11.0,[],OGG,10
6nrzVljzaVMXMIeBUhDWSJ,53.0,[],Wild Minds,0
