id,followers,genres,name,popularity
2Ygkxgf2I2gFrUzvVSAai6,17.0,[],Loyce Cotton,0
3BOhzKZeZMuCjYUIStuNRZ,12.0,[],Kim Tamango,0
7twP1EyFIl2YFQXgPG9kqe,13.0,[],O.D. Williams,1
1ZuwjqoI7tR4Ds0Oe0C6zB,8.0,[],Chamber of Commerce,0
7fMDo89rEvJ009g0S1AeUX,1.0,[],Johhny Morisette & Jennell Hawkins Sexette,0
3tLgjS3oUXRMvVvKe2BcBC,10.0,[],Joe and Everyday People,0
2HtbGWgFbeFudyoFwc2wHw,5005.0,['electro'],JVC Force,23
0DuR2iEsIGnc2FtPFIKXvT,3656.0,['electro'],Cash Money & Marvelous,13
3R7SOiZVE3VA35iLEk3QH5,2326.0,[],Super Lover Cee,11
1XMAYcdy0aZQTZ6S4deMUd,4593.0,['queens hip hop'],Grand Daddy I.U.,22
5DydSHMob8lqUO20KPQ4fZ,2074.0,[],DJ Hollywood,5
7yj5f9RjmWItytZktPWD7b,2377.0,"['electro', 'old school hip hop', 'proto-rap']",Jimmy Spicer,14
1oyZ9ZY0axsoQH66UVUDKu,731.0,['bronx hip hop'],Super Lover Cee & Casanova Rud,1
7eb6he3iOTjb4wSqKvP8HQ,3.0,[],Lord Shafiyq,0
1abxqY1kQi7bmsiRDJR7vj,9055.0,"['electro', 'old school hip hop']",Fab 5 Freddy,16
4QUs7kF02m1yOZUBmSBcmo,500.0,"['old school hip hop', 'proto-rap']",Disco Four,5
3m1DDsmQLhY6IIfGHibFjI,3253.0,"['electro', 'old school hip hop', 'proto-rap']",Original Concept,11
0G0al5SmFGI6XSIS61V3Mj,100.0,[],Mark Henry,0
6KgCwhz5SlIp296UA2w2sD,61.0,[],Nemesis & Arrogance,0
189i2z8p662ldvBbubZPQ2,106.0,[],Chynaman,18
2qxk9EVB4qgTaXJ4ewCBcM,128.0,['neo-psicodelia brasileira'],Eross,1
7sLf4RccGXCpIhJafCinGR,6.0,[],Hoodie Woody Freaky,0
6ekbTbLwppkPGL7K8zV1At,134.0,[],Chimpanbee,0
0FJKDYVKWUmnlf1jCOVl8K,475.0,[],Lipgloss,0
38e6xK1OBFEYopunBsvnAd,39.0,[],Liam Boyle,0
33mkiQmVaJVCNzx7ngWfVD,8.0,[],Nicky Bell,0
0NtNJAfciN55QH3O8VbRJk,33.0,[],Peka,2
4m3IzSrccAIcso8hmoZLDW,13.0,[],J Billz,0
3IKuCRgtpYiBIJq1Za9K2o,7.0,[],King Lexy,0
3JqWJVrYnapUDRIrTGzpTt,3751.0,['indonesian punk'],Devildice,23
4e6Mw7bcdI1YCp2nA176DW,30.0,[],Inlander,0
7zasd6KIiG8gwyGki3sW3y,60.0,[],Jikunsprain,0
0zgTp4mGJRXJdjtRyV6Hk6,46.0,[],Irwin Ardy,0
1hP4pfPN7YRdloJz2bhusA,247.0,[],The Authentics,1
42oViuhrWTzyVKEyhZr8Pk,1.0,[],Fake Star,0
1kXrkxkSUQwgyICWzi2fo1,16.0,[],Magyori,0
0cqT0EoFumrfXVEA2m0s5X,39.0,[],Papa Flow,0
0RIAmp0OMi0bMsC2jliytC,298.0,[],Hectic,12
3jN2GztVwgQHpw8w9KXeMk,16.0,[],Jtp,0
0o3wQ5SnBM1eb8E7Gipvrb,137.0,['indonesian rock'],Raksasa,0
3TVSVfYrksTuayvAPi5OFa,35.0,['indonesian indie rock'],The Samsul Hadi,1
2sSwBNcY8Up3WiJFMZqOoY,758.0,['indonesian folk'],Bagus Bhaskara,23
3eBsgTsZTFbSreL21g1Z3U,207.0,[],Melanie Subono,6
3CUuhJzozRfNDtyPUrIYcJ,1240.0,['indonesian blues'],Jamphe Johnson,18
5HATHeOFYmHrmYI7N226PS,591.0,['indonesian pop punk'],Hot New Camp,7
0tev8ZQ4Hy5AeAeCK5Udw1,3990.0,['indonesian folk'],"Wake up, Iris !",10
3abEFJBK0TpCpi3KOwtrGw,151.0,['indonesian blues'],The Experience Brothers,0
27yKsp8lTFSUqXxMxqJNWk,486.0,[],Andre Harihandoyo & Sonic People,10
4pbnvLb8dZFPg5UkfhuXK4,53.0,[],Dion & Kebun Tubuh,0
3MvVxrSsHofAIIxXSOmTff,48.0,[],Let's Go C'mon Baby,0
49mohGdxIV65rVKXNqHDSQ,530.0,['indonesian rock'],Speaker First,0
5uBTCAYwpxP9u4uFCgLgZq,72.0,[],Dopest Dope,0
7M8C3KlUlZqa6FbgZFpgOC,942.0,[],Sirkus Barock,12
4d6A2vRFu3Wjm9CBpCtD5J,8.0,[],MOWNS,0
7ubMCzaqujBd4etw3u0Up7,74.0,[],Anita Kemang,1
2YBAB3nTFFnVMY6b4PlUsB,353.0,['indonesian rock'],GRIBS,7
0ukuapxGGREj3dr8LoaLvi,45.0,[],Geger,1
7lnJchVeumQQ2a8IkPBqzP,84.0,[],33 Revoluciones,0
7ALIsY4Hr88qGTmPdLI6kM,19.0,[],The Burning Ponies,0
3gyMdwhYWg4zmhXjT5ohRk,34.0,[],Electric Beans,0
0T1jMGy9H2lZllJGhh2tgf,39.0,[],A-Grave,0
13ho82WSsz8hUN0NM5c51k,39.0,[],Buzzkill Baby!,0
3drXAaiIS4OPR0TBXUC3Fb,63.0,[],A Supernaut,0
6kEZCX8k1FIzvtIdqCKNrK,313.0,[],Midnight Mob,3
1EqJt2MpTMFt0Xvtz6fs30,2.0,[],The Fortune Healers,0
6g1IZjQwqaz8FyYsfxmPvP,37.0,[],Big Ro,0
4PQBUaYDPQrABMRtTAIE1x,79.0,[],Brandal,0
4OOMyeWF6IMPh4SasaEbMY,2.0,[],Kanny Kedar,0
02PteQRMO8J0t5iEtmwaRr,98.0,[],La Vox,1
55xU1bqbqm5aBVQqsAIgtF,102.0,[],The Crossfire Hurricanes,0
1G3ueLFA4ehYC7QBiysMl4,12.0,['indonesian blues'],Budi Arab Project,0
1D2FixNGFhjHRTWKGDAJdU,0.0,[],Urban Bleu,0
1pe0drlVyS4yPezd9N13HW,1.0,[],nihil scio,0
0FJzf7K4OAmaPJBQp3gOZa,154.0,[],Snack Family,0
2rHktabtUK9ewrvYGpqVaA,417.0,[],Styx & REO Speedwagon,0
0Fk4Cl8fQ9fy3EwjCgJzzu,377.0,[],The Stone Eye,2
5WkkPapQjMHwmsD7fDp6Gz,6.0,[],Alpaz,0
3wxWYeljyBKfFuOi4Pq5Cc,3.0,[],Sixpack Penguins,0
37xCvO4Sk7rpVVKNiGRbbT,219.0,[],Dogies Barks,1
3htSUyEW8p3Uk7A27thZOZ,31.0,[],Piratez,0
0z52bRlOjUhNbi9WRqqgLE,88.0,['indonesian post-hardcore'],Everything Falls Away,0
3QirpWWq6WRtNQrbRezEnl,352.0,['indonesian folk'],Folkapolka,3
4Rs7fl9Lxz9Fg2PUiIF25A,84.0,[],Nymphea,0
2zdgryTWRVAUi8kNRs0NpT,91.0,[],Diocreatura,0
6826OjFiGitEi3waGXm9FG,49.0,[],Arah,4
3TNH8mT9IqybUeOJYENcWI,149.0,[],Pestolaer,0
48bV2bkdqm0NOidUMpUfwA,254.0,[],Afterisya,8
6aBM9dyV7VqghPcRsEaju8,67.0,[],Cigarette Nation,1
7gj1wP2mLpGPf5ORdNu8tT,1517.0,['indonesian indie rock'],BRNDLS,0
4lXLpLBZbcdhrUzj8cQ0yE,187.0,[],Roman Foot Soldiers,1
7cxiPznpeqIyuY6B60wUNg,96.0,[],Innocenti,1
0prSdEOWD9SRkWK4N5nmsf,32.0,[],Selimut Cokelat,0
3i19izdF2Va7ULYMEOvSBz,64.0,[],SADFACE,25
5aie6QFIA9k6ivQQneblIW,12.0,[],Vigar & Diddy,0
