id,followers,genres,name,popularity
6c8XW6tu9LQeRZHsCA0K3H,5.0,[],Electric Memory Box,0
2UI4LlV6AvmOZM26fiDhYC,52.0,[],The Dressdown Kids,1
52b2zj3v16u6lJrdNLHnwl,1774.0,['hangpan'],Felipe Lemos,8
3bOFxFFFS6zkSJ7T2rlxLb,8.0,[],HAMMY,0
31SwguAUw5o7GntwBxgp0C,49.0,"['c86', 'tape club', 'twee pop']",Confetti,2
4TgeWXHj812HWF1eDKsY4e,18.0,[],Prebe,0
6ctCLqnJ6ka3ZeNa7U2Wcm,23.0,[],Chris Jewell,0
32qRriKCSUFjQ3hXIJ9J5d,47.0,[],Tiago Lima,1
6sUaOQDkGoLIAefGjd4xnS,27.0,[],Almagro Cuarteto,0
4qHUcD003eK2SbRF1B57Qr,36.0,[],Optional String Quartet,1
42zOipFVcnnl5ny1XQCVSI,4.0,[],Salvatore Meccio,0
6fYAeTd8rh94uz0SMnvCaF,67.0,[],Cuarteto Almagro,2
7por5CLM9V7qIk0vSRCiKW,7.0,[],Gilles Et Julien,0
1tiBanNMOo2GRqx8pPHSur,1.0,[],Vaugh Monroe & The Moon Men,0
50Waes8RfmSsF6WecF6ydF,168.0,[],Formula Diablos,10
2dqGbL5B7lOFn3AsxOIyih,139.0,[],Los Centellas,4
17edTugOiD0C0wPhPnOl08,7.0,[],Los Golfos,0
2VFwk43P0X5d1DwzVAcAHz,209.0,['spanish invasion'],Tony Roland,0
0GwTryx3Ts7CZFZTXafE3h,1.0,[],Beechy Colclough,0
1VOaeMqNXsRsuAbJf7Sjxm,2.0,[],Tandy Morgan,0
1v9GXu2Lby6eFKyCiyndkV,155.0,[],Stephen Langstaff,0
4j1MTWM8I0KiWcvm3AijHn,61.0,[],Lazarus Taxon,0
6FxyQjz9VgniGGDPGhC167,22.0,[],Paul French,1
3XrQKMZPr2qNui8FD9SCzf,148.0,[],Espen Haugland Mosdøl,1
2C73vOwGM2TIL1y2VWVUPR,123.0,[],supermale,0
792rHa4fZodwprcK2BRCxr,505.0,['norwegian americana'],Saturday City,1
3TmSdkllqOc4GoNgkt1Jwx,310.0,[],Level & Tyson,2
4FW1jiMAdqthSJxUlpAi25,4.0,[],Alphonso Trent And His Orchestra,2
5r89seDhq5dnVWpQ7y0wHQ,3104.0,[],ROMBE4T,30
1MvB7njn92h3Eq9mbNtewG,45.0,[],DJ Silence,9
1qAerSSt0FvieAjhR4VqQu,177.0,[],Maickel Telussa,18
7MX24EzPNixuzL3tXcmkca,239.0,[],Numb,39
5oR0jcaqL7OXp7Ldwvz1dC,201.0,[],almostofficial888,26
4IugFaW1k6l9mQGGn1ViAP,80.0,[],Brittany Kingery,1
