id,followers,genres,name,popularity
24vZWtR4GWohgylpInfGbV,527.0,[],Navarra,9
6I1ZfZbcAlvRAVWU8nqtfY,512.0,"['folkmusik', 'nordic folk']",Goodland Trio,14
5npAdk6SQzL7HIgaoS3Dhi,3.0,[],Andreas Schickentanz,0
3LA3fpRCHCEJv05GTCthgf,5.0,[],Delicious Kris,0
01gGUokIzgHsH6DT5DiMt4,50.0,[],Jank Kovik,0
3ePmVCvFtkacefRIvxH5Gw,43.0,['jazz trumpet'],Uli Beckerhoff,1
0n2CqpEhWTVUP5DmoBtgxO,78.0,[],Drum Grooves,1
7h63oAhzbvCqKdfiQ36nBO,77.0,[],King Lil One,0
0nxtVygyUNvfJoYhN7LIN1,0.0,[],Tia Michelle Rouse,0
20kNTb7TXpRDUbmBsKh9ey,29.0,[],Blachman Thomas Meets Al Agami & Remee,0
1rtwdrhFsUbdpbBSIF3e3T,0.0,[],Nat Foster,0
1Xxc3wPy91hDdRblozHpzC,33.0,[],"Boel, Emborg, Vinding, Riel",0
5FIvWfOU1oOw5av8wVq3Ky,7.0,[],Lisa Karp,0
18biUtop0dTcXPExRTpLX8,9.0,[],Matthew MCR Ellison II,0
1JfHdKnsrswZT0QhVEfZJF,70.0,[],Porno 101 Music,1
0KVAckK3fdJkE1QuIUf7p0,2.0,[],Michael Boogie,0
0VNKcyx3b0miv48UuHHWKd,33.0,['folk cantabria'],"Santander, Pueblo Español",1
6BdoOD2pSHkwOhQmtw70kl,96.0,['folk cantabria'],Ronda Garcilaso De Torrelavega,3
4zE3IoakTjfpyRdMBHm0i5,406.0,['folk cantabria'],Dúo Cantabria,7
3Qw8T1NaX4QNL6addLbruk,21.0,['folk cantabria'],Manuel Sierra,0
7Crq5ado7VUROvzrvUDZh9,1.0,[],Argimiro Sampedro Y Su Conjunto,0
3krNKZzA7NkdlwHTH3rEkR,50.0,['folk cantabria'],"Santander, Grupo De Coros Y Danzas",1
5R3OPB4a9ONc2w0wdwg9rn,31.0,[],Dr Libido,0
5qsptyYH33IXlAA08xm457,2.0,[],Jimmy The Jellyfish,0
1YHhHGSEYO9WxSoEKITtL8,548.0,['folk cantabria'],Los Carabelas,14
13cmjL7tuNnT2VdNA4ixSs,222.0,['folk cantabria'],Benito Díaz,6
4biLUqtOCAlOxz4NQSUdKE,13.0,[],Jazzgems,0
3gCpCDQI6E10lsOpJe6JWc,25.0,[],Candy Panda,0
5vmuLtxiKjn2qttZgsLrpe,33.0,[],Mr. Gagun,1
0jexlpSbon92SbEZFbqQLT,37.0,[],Kevin Randolph,12
4OVBjcsT6EdiGbNixsmD9w,34.0,[],J4F (Just4Fun),0
1Rt7YSMCzRVx2uOhBjIFQP,52.0,[],Andreu Martínez Project,0
39BJUeAiI5im0fNR5hfGJl,101.0,[],ST Fusion,0
0Xdh5ZGp3WkGn6qVU3IWwQ,8.0,[],Koko Ray & The Soul Providers,0
