id,followers,genres,name,popularity
75m1EojYBXb0qEesCuXHis,14.0,['central asian folk'],Shuhrat Razzaqov,0
5HfsCBSIRNFXqZsVrFf1dO,9.0,['central asian folk'],Murad Jumaev,0
1qW4pVOp0fOTFrmiCSsx7F,20.0,['central asian folk'],Dilbar Bekturdieva,0
3iaO7HGIzchz05hNnhMYXS,26.0,"['central asian folk', 'uzbek traditional']",Farhod Davletov,0
5m4mYys97lQHLjpLQIiDrz,2385.0,['turkish classical'],"Murat Aydemir, Derya Turkan",15
0vEEDvx9FA4MGnxMwMLv0v,590.0,['turkish classical'],Aydin Karlibel,5
6edRoIDQ7R2poDAwGPDpwY,474.0,['turkish classical'],Neva Ozgen,10
2tkkRpvEOSTB3WbWCtXkbp,1825.0,['turkish classical'],Yinon Muallem,21
5tIxg8PUZgc1KBjEAb01SZ,3429.0,['turkish classical'],Golden Horn Ensemble,14
73uzPWSImvq2Rt56zniCgb,2194.0,['turkish classical'],Emirgan Ensemble,22
6YbzBaRQjLfbWPsr1P3Jy5,0.0,[],Yinon Mualem,0
5j6A5iWerZZbrl0vMYc9HW,14062.0,"['ilahiler', 'turkish classical']",Dede Efendi,23
41JqJkjqMDOAwE6YwTmgIM,2294.0,['turkish classical'],Ihsan Özgen,20
5jMOEoHJKaLHRBD1BX5j3S,351.0,[],İlke Ulaş Kuvanç,1
5z2KM7UqCwiE4PQHEyEsEw,1789.0,['turkish classical'],Hasan Esen,11
0v46ncbhQccvt0Z5A6ygS1,59.0,['turkish classical'],Volkan Yılmaz,11
54LeMA80FHkvWKO22r88pR,23.0,[],Le Quatuor À Vent Scène,0
3XzpnqBaQcrucUoEqeCWMX,8.0,[],Wladimir Magnuschevsky,0
1k6CogT60MaTDXmRxwdDkA,4.0,[],Genio Loco,0
3fiZfeSleh1XyXp8v4yV41,10.0,[],Ruth Wall & Graham Fitkin,0
4CvlRlSklqeikzxPPlyiQO,7.0,[],Heinich Neuhaus,0
