id,followers,genres,name,popularity
2j8qngEk9GSCg7kbWo1SKx,34.0,[],Abigail Rockwell,1
6eqH5MNdnzDTbGIixJBkrv,7.0,[],The Rhythmakers with Billy Banks,1
1STor7x3DdMiigJTCRFs26,23.0,[],Count Basie Orchestra with Jimmy Rushing,1
6PwdmNoF5BspMJVOkAVdPA,6.0,[],Dickie Wells Orchestra with Django,1
5YRTI4CyAKUa2WUbWISCtx,7.0,[],Bob Crospy's Bob Cats,1
1tnSyMDWqfBtWKaTfBnBvI,1.0,[],Frankie Trumbauer / Bix Beiderbecke / Conrad / Robinson / Lewis / Young,1
3RORzBUAGFqk2hgTwfoVAD,25.0,[],Teddy Wilson Orchestra with Billie Holiday,1
0WxhZWvCjLyQdrjTE2dHeZ,5.0,[],Frankie Trumbauer / Bix Beiderbecke / Heywood / Cook,1
6QmNOULAQuPZaem53Y7M8I,1.0,[],Rex Stewart Feetwarmers with Django Stewart,0
1gGDvHpFhu89h1WKsgEVkg,2.0,[],Rex Stewart Feetwarmers with Django Stewart / Bigard / Taylor,0
5fdEDtIIFQepvwOCSWaE4N,5.0,[],Rex Stewart Feetwarmers with Django,0
20X7WjuxgE6URdqrXa4oqH,767.0,[],Electronical Suicide,0
6HpnjU5rbMGQjoJMMs8nqU,9.0,[],Black Soul Strangers,0
07jPAj8FrweoAnaYiHeiRA,52.0,[],Infight,0
6bm4nfQT4b9gAsl9ZlAVws,47.0,[],The King Left,0
77TlwYNiSm26oNNwyY7Hqz,3.0,[],The New Loud,0
4sahckKujMQVsxDR0y1ldD,145.0,[],The Streets On Fire,1
2XRDrSTaGNwoK5EOV0BCQu,299.0,[],Volcanoes,1
4695x4D2NH09JVfg5RBV5d,202.0,[],The Idyllists,2
4z0AcclO4bPr0bF07oLtw1,103.0,[],Ryan Riot,0
7cjLa6AQcbH9XWQYmPNpX4,1904.0,[],Ay Wing,37
0F5xhiLF5Kg1q8X4s3RnE3,117.0,[],Midnight Wire,0
0FwixBszSQQP1GOCI4rybR,138.0,[],The Looks,1
5hS8WvXjBGSyHS0LtEDxoS,528.0,['deep german indie'],LEYAN,15
61BZcjDEKqCTz0DPmyz8Fd,49.0,[],Dead Sea Lions,0
0GiPyyqN3TmycW9ObHh14g,94.0,[],Dave A Marat,1
4VfZgpEIXHgxsGZMxm1wam,12.0,[],The Kush,0
0hBvRldDcr1hX87re4Zzy7,35.0,[],LR RocKeTs,0
2uRJhB3Wxm9gdepCDfZfgf,183.0,['riot grrrl'],The Quails,1
5WoocLqA6yXApNgfHFK5Cr,173.0,['greek indie rock'],Playground Noise,1
7wog7Uyk4FsbXcilG0FzUA,210.0,[],The Library Is On Fire,1
4ldOJSsfz5ZQDCIpxbC91X,148.0,[],The Bubbles,2
4vXZ5107BhTpxvxTUacaFA,28.0,[],The Roto Mafia,0
4wnBH4RX9csLeGqAaciu46,31.0,[],I Call Shotgun,0
6JIaHF6tr9xkfhv7SFZQw3,4432.0,[],Carlo Payes,19
2B50RZLr4wbnqALzhYeL00,58.0,[],Gabriela Martina,0
1uNP6maLF1EhjimHkA27qc,1083.0,[],Chushokigyo,8
2kaIuOyUDD7RzIzQqt3PEI,37.0,[],OHIO101,0
45Deq5x4UCDuOwyBzNqhcM,5.0,[],Bethlem,0
5epew0n8DNBQmzjqy2Mfm3,22.0,['depressive black metal'],Zakhm,1
4mRLACG8HxA7lnMu7wpWtj,29.0,[],Chaosophia,0
5h3caUKv9adAULGuqLpUrH,128.0,[],The Mairy Macs,0
5GJbYCyl5bnF26bv8oFfJy,33.0,[],Django Reinhart Trio,0
1S14L1AQegbJET8Jc3OFUm,14.0,[],Jacques Gombert,0
3TfvsAhKIISrpAIoKSx6XJ,8.0,[],George Arvanitas Quintet,0
0YtPwKFvZvn3D7fnISVB3o,36.0,[],Alfred Hollins,5
31MgSGGD9wPl4JAymVHehH,23.0,[],The Jonathan Simon Trio,0
2DsATFe0wyAuNA1KJMpudT,0.0,[],Benny Goodman All Star Band,0
2oJe0xZ4ysE00POFlsYhQB,22.0,[],John Barrow,9
6DLgm3oTBJowozAYukncjU,20.0,[],Ekaterina Saranceva,12
7eookQqxlbxIqM20rVMuss,1.0,[],Rung,0
7nZP3zGF3O00IqFUR8XxkS,135.0,[],Salman Ahmed,0
3FSCR88DY0pbTHIJjkeIaq,16.0,['classical bassoon'],Anders Engstrom,0
3kitbDceItXoroM6ORZnSM,34.0,[],Jammu and Kashmir,0
1vliyf0Z3n943E7chQDLD3,21.0,[],John Banks,0
1Qd7kPUG9PBDCgr3PmZ4Up,18.0,['uyghur folk'],Abdulla Majnun,0
0Gmy9fCSbVixvpSl0bYTZZ,50.0,[],Kosmic Horrör,0
1OWVcXjkH4ncDjB15LKuQp,50.0,[],Celtic Glory,0
2zMn3KQ5mzl10yBNmjS9ef,76.0,[],Waltham Forest Pipe Band,3
14zjiEUld2t5AOTR5ffwYB,27.0,[],Ivan Tsarevich,0
2hWebs1vTCqc9vHrmBG3bI,53.0,[],King Chris,6
7AdVNfs2PHxldj37uOk5s5,39.0,['corsican folk'],Jacky Micaelli,3
4s8hYDyKAyJmifnYIStftt,5.0,[],FBOD,0
22J8hGODNbDjl7b5PIgwNe,9.0,[],Elia David Cmiral,0
1bm7YBrR67dShGP63agdsP,58.0,[],Birgitta Ulfsson,9
1ZclbYQBI8SV7mVynqCP9J,13.0,[],Enzugiri,1
3Vx5iGMf9u92gk8RYzYzfo,10.0,[],Major Dan,0
2IwErd21jLEr59lKRkuUUz,2.0,['polyphonies corses'],Per Agata,2
4TDmDWumdrmLQIqip6IMVl,670.0,[],Louisa Lyne & di Yiddishe Kapelye,7
7z6NIOqQUuuQRs3KMQJvAp,66.0,[],Gwyn Hughes Jones,3
592V584l6ZLCQliRAm2Nvf,10.0,[],Virginia Black Lung,0
1t2BTCvcIY6HWzjjGVBAc2,33.0,[],12 Aullidos,0
0Z4anAwzB2Gpgxq9zSYMa3,13.0,[],Rise From Ruin,0
4OR5VVRVAk6HlEX9NPA1Km,20.0,[],My Lai,0
7IOi4FGRIPTBlTRbX9pLIK,29.0,[],Allegory of the Cave,0
1WyByM1DvxIDtjvamYDzhn,4.0,[],Lovers&Killers,0
2UzYqNGPV3DYSK3DVYHAnW,36.0,[],Malatesta,0
3kYkzkQy0m3zVVTo4Hpv4k,7363.0,['alternative hip hop'],Horror City,26
0u6pOoYSCguXW5miQvr3l3,4.0,[],Tradition Dies Here,0
04isfqwtvCDfxgsOeJQ4iX,260.0,[],Remington,1
2f1fUE5zX29It4fTkSf0rw,51.0,[],Sine Nomine,3
5s5wkFh7qPeyJTtF7LTVIV,142.0,[],Narrator,1
0r13oMv5OMV3BXOgEMQeut,691.0,[],Soar,34
07RwwixBYptY6MJAkd9bXS,31.0,[],Occam's Razor,0
0GzWiahl45kqIz4CZt8Czt,26.0,[],Prohaska,0
5El8ZiXuZfzYlWitcgOwEL,56.0,[],Witchcraft By A Picture,0
1NtFoUGtvecGf9lUTr3CXc,34.0,[],AMALGAMATION,0
0ikTVRtzMFJSrzEL9IZDtU,24.0,[],Currentes,1
7KNeWd2edCwu1l6CxEVDet,256.0,['powerviolence'],Corn on Macabre,3
1JXHcAFqE5aDu3I07gyyP1,77.0,[],Yuriko,0
7f4i91GTF40edrGQj5YnG8,59.0,[],Turn Around Norman,0
10V2lZgzbyoSqwH1LAmdrT,31.0,[],Unless,1
